AC_H1_EPM/FP7p/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_E1p/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_E2p/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_E3p/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_E4p/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_FP5p/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_FP6p/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_FP7p/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/Z2/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/Z2A/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/Z3/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/Z4/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_Z2/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_Z2A/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_Z3/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_Z4/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/P1p/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/P2p/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/P3p/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/P4p/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/P5p/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/P6p/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/P7p/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/P8p/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_P1p/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_P2p/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_P3p/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_P4p/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_P5p/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_P6p/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_P7p/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_P8p/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/E1/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/E2/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/E3/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/E4/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/FP5/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/FP6/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/FP7/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_E1/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_E2/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_E3/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_E4/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_FP5/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_FP6/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_EPM/unc_FP7/1997-08-30/-1e31/%11.4e/PT5M/5 minute/Time, beginning of interval
AC_H1_MFI/Magnitude/1997-09-02/-1e31/%8.3f/PT4M/4 minutes/Time, beginning of interval
AC_H1_MFI/BGSEc/1997-09-02/-1e31/%9.3f/PT4M/4 minutes/Time, beginning of interval
AC_H1_MFI/BGSM/1997-09-02/-1e31/%9.3e/PT4M/4 minutes/Time, beginning of interval
AC_H1_MFI/SC_pos_GSE/1997-09-02/-1e31/%9.1f/PT4M/4 minutes/Time, beginning of interval
AC_H1_MFI/SC_pos_GSM/1997-09-02/-1e31/%9.1f/PT4M/4 minutes/Time, beginning of interval
AC_H1_SIS/flux_He/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/flux_C/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/flux_N/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/flux_O/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/flux_Ne/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/flux_Na/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/flux_Mg/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/flux_Al/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/flux_Si/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/flux_S/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/flux_Ar/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/flux_Ca/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/flux_Fe/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/flux_Ni/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/cnt_He/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/cnt_C/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/cnt_N/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/cnt_O/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/cnt_Ne/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/cnt_Na/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/cnt_Mg/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/cnt_Al/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/cnt_Si/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/cnt_S/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/cnt_Ar/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/cnt_Ca/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/cnt_Fe/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H1_SIS/cnt_Ni/1997-08-29/-1e31/%11.4e/PT256S/256 seconds/Time, beginning of interval
AC_H2_CRIS/flux_B/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/flux_C/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/flux_N/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/flux_O/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/flux_F/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/flux_Ne/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/flux_Na/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/flux_Mg/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/flux_Al/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/flux_Si/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/flux_P/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/flux_S/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/flux_Cl/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/flux_Ar/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/flux_K/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/flux_Ca/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/flux_Sc/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/flux_Ti/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/flux_V/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/flux_Cr/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/flux_Mn/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/flux_Fe/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/flux_Co/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/flux_Ni/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/cnt_B/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/cnt_C/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/cnt_N/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/cnt_O/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/cnt_F/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/cnt_Ne/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/cnt_Na/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/cnt_Mg/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/cnt_Al/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/cnt_Si/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/cnt_P/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/cnt_S/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/cnt_Cl/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/cnt_Ar/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/cnt_K/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/cnt_Ca/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/cnt_Sc/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/cnt_Ti/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/cnt_V/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/cnt_Cr/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/cnt_Mn/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/cnt_Fe/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/cnt_Co/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
AC_H2_CRIS/cnt_Ni/1997-08-27/-1e31/%11.4e/PT1H/1 hour/Time, beginning of interval
